kml_name;kml_description;longitude;latitude;height
Вел.Новгород-церковь Феодора Стратилата;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(61925522,'000145',16,58.527296,31.269751,'n')"><div id="hint">Russia</div></body></html>;31.26906916;58.52766359;0
Церковь Благовещения на Мячине (в Аркажах) 1179г;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(23488590,'000145',14,58.493481,31.250632,'n')"><div id="hint"></div></body></html>;31.25011882;58.49330209;0
Софийский собор.;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(138265420,'000145',18,58.521986,31.276660,'n')"><div id="hint">Velikiy Novgorod,Novgorodskaya oblast',Russia</div></body></html>;31.27719126;58.52241182;0
ЦЕРЬКОВЬ Петра и Павла на Синичьей горе;НА СИНИЧЬЕЙ ГОРЕ;31.2590947;58.50935864;0
Церковь Николы-на-Липне;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(61879840,'000145',16,58.448662,31.349133,'n')"><div id="hint">Novgorodsky District,Novgorod Oblast,Russia</div></body></html>;31.34905485;58.44905798;0
Знаменский Собор. 1682—1688. Новгород;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(94558120,'000145',17,58.517173,31.293671,'n')"><div id="hint">Russia</div></body></html>;31.29478538;58.51736592;0
церковь Симеона-Богоприимца;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(141457906,'000145',18,58.536240,31.276590,'n')"> <div id="hint">gorod Velikiy Novgorod,Novgorodskaya oblast',Russia</div></body></html>;31.27663972;58.53644894;0
Собор Сретения иконы Божией Матери;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(249649196,'000145',20,58.581342,31.231776,'n')"> <div id="hint">Novgorodskaya oblast',Russia,173507</div></body></html>;31.23218076;58.58139097;0
Свято-Троицкий Михаило-Клопский монастырь.;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(23063405,'000145',14,58.374897,31.122980,'n')"><div id="hint">Novgorodsky District,Novgorod Oblast,Russia</div></body></html>;31.12207385;58.37656526;0
Свято-Успенский собор 1157 Г.;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(62099342,'000145',16,50.843468,24.315340,'n')"><div id="hint">Volodymyr-Volynsky,Volyns'ka oblast,Ukraine</div></body></html>;24.31539528;50.8431637;0
Церковь Феодора Стратилата на Ручью;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(64803545,'000145',16,58.523240,31.293354,'n')"><div id="hint">Russia</div></body></html>;31.29354663;58.52346641;0
Великий Новгород. Храм Николы (1113 г);<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(193945698,'000145',19,58.517702,31.284192,'n')"><div id="hint">gorod Velikiy Novgorod,Novgorodskaya oblast',Russia</div></body></html>;31.28450517;58.51772595;0
Церковь Параскевы Пятницы;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(192159358,'000145',19,58.518198,31.285372,'n')"><div id="hint">gorod Velikiy Novgorod,Novgorodskaya oblast',Russia</div></body></html>;31.28526529;58.51844402;0
St John the Baptist Monastery;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(63935990,'000145',16,57.825831,28.317516,'n')"><div id="hint">Pskov,Pskov Oblast,Russia</div></body></html>;28.31819829;57.82603781;0
Мирожский Монастырь ( Mirozhski Monastery );<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(94614830,'000145',17,57.806284,28.328819,'n')"><div id="hint">Pskov,Pskov Oblast,Russia</div></body></html>;28.32925689;57.80653496;0
г-д Псков.Храм Покрова и Рождества Богородицы;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(93626388,'000145',17,57.805296,28.334362,'n')"><div id="hint">Pskov,Pskov Oblast,Russia</div></body></html>;28.33434364;57.80544302;0
Pskov;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(94953331,'000145',17,57.823183,28.327560,'n')"><div id="hint">Pskov,Pskov Oblast,Russia</div></body></html>;28.32971003;57.82244992;0
Pskov: "Georgiy" church;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(138787470,'000145',18,57.809840,28.332614,'n')"><div id="hint">Pskov,Pskov Oblast,Russia</div></body></html>;28.33266869;57.80997841;0
Церковь Жен-Мироносиц;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(64458859,'000145',16,57.822058,28.313100,'n')"><div id="hint">Pskov,Pskov Oblast,Russia</div></body></html>;28.31347749;57.82219538;0
Звенигород. Успенский собор на Городке.;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(94295521,'000145',17,55.733146,36.840623,'n')"><div id="hint">Savvinskaya Sloboda,Moskovskaya oblast',Russia</div></body></html>;36.84036725;55.73334344;0
СОБОР РОЖДЕСТВА БОГОРОДИЦЫ;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(137118269,'000145',18,55.728054,36.816387,'n')"><div id="hint">Savvinskaya Sloboda,Moskovskaya oblast',Russia</div></body></html>;36.81643812;55.728194;0
СПАССКИЙСОБОР;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(138082930,'000145',18,55.749271,37.670757,'n')"><div id="hint">Tagansky District,Moscow,Russia</div></body></html>;37.670757;55.749271;0
Храм Архангела Михаила. 1694-1739 гг.;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(190775544,'000145',19,55.749018,37.669757,'n')"><div id="hint">Tagansky District,Moscow,Russia</div></body></html>;37.66991606;55.74932296;0
Иверский Успенский монастырь;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(61545270,'000145',16,57.988994,33.305826,'n')"><div id="hint">Valdaysky District,Novgorod Oblast,Russia</div></body></html>;33.30613878;57.98942744;0
Tobolsk Kremlin;<table width="380" cellspacing="2" cellpadding="5" border="0" align="center"><tbody><tr><td colspan="2"><b><font size="2" face="Tahoma" color="Maroon" >Тобольский кремль / Tobolsk Kremlin</font></b></td></tr><tr><td><a href="http://geolines.ru/PHOTOOBJECT/temples-palaces/temples-palaces_869.html" target="_blank"><img width="120" title="PHOTO" height="120" border="1" align="top" alt="" src="http://geolines.ru/netcat_files/83/38/h_7d6be6e6df32db91040c58239f350aec" /></td><td><a href="http://geolines.ru/research/research_899.html" target="_blank"><img width="258" height="109" border="0" align="bottom" src="http://geolines.ru/netcat_files/18/10/h_8e9e23e85ebf15837ef1d40b05b0e469" alt="" /></a></td></tr></tbody></table>;68.25295641;58.19898603;0
БЛАГОВЕЩЕНСКИЙ СОБОР;<html><head><link rel="stylesheet" type="text/css"href="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb.css"/><script type="text/javascript" src="http://mw2.google.com/mw-earth-vectordb/panoramio_clusters/pcb1.js"></script></head><body onload="loadPhotos(94296981,'000145',17,55.582481,42.054012,'n')"><div id="hint">Murom,Vladimir Oblast,Russia</div></body></html>;42.05395808;55.58276464;0
