kml_name;kml_description;longitude;latitude;height
Telos;Greece;27.35925385;36.44087623;0
Lato;Greece (Crete);25.65523066;35.17876437;0
Minoa;Greece;25.86180975;36.82128783;0
Rhithymna;Greece (Crete);24.4717535;35.36586558;0
Amphimalla;Greece (Crete);24.26132101;35.36242623;0
Tarrha (Lampa);Greece (Crete);24.33514302;35.28627568;0
Lato pros Kamara;Greece (Crete);25.71434631;35.19085365;0
Astypalaia;Greece;26.35147078;36.5475574;0
Olous;Greece (Crete)a sunken city;25.73365816;35.25787563;0
Eleutherna;Greece (Crete);24.6766385;35.32408544;0
Aplomata;Greece;25.37724807;37.10720428;0
Daulis;Greece;22.73231191;38.51403595;0
Neapoli Voiai;Greece;23.05933593;36.51172218;0
Chora (Kythira);GreeceMinoan;22.98838664;36.14973265;0
Corinth;PeloponnisosGreek city;22.94265549;37.93728557;0
Eupalium;Greece;21.96564867;38.44940741;0
Lepreo;PeloponnisosGreek city;21.73357097;37.42781381;0
Epidaurus;PeloponnisosGreek city;23.15614636;37.63817805;0
Sicyon;PeloponnisosGreek city;22.71208524;37.98692168;0
Asea;Greece;22.26521071;37.41621409;0
Nemea;PeloponnisosGreek city;22.71030321;37.80896017;0
Mycenae;PeloponnisosGreek city;22.75516735;37.73048428;0
Heraion;PeloponnisosGreek city;22.77467104;37.6920543;0
Argos;PeloponnisosGreek city;22.72571953;37.63116903;0
Lerna;PeloponnisosGreek city;22.71807412;37.55124637;0
Asine;PeloponnisosGreek city;22.87401636;37.5276308;0
Athineo;Greece;22.24467497;37.40043489;0
Sparta;PeloponnisosSpartaGreek city;22.42505849;37.06593425;0
Cenchreae;PeloponnisosGreek city;23.00413544;37.89896333;0
Tegea;PeloponnisosGreek city;22.42065203;37.45516634;0
Elis;PeloponnisosGreek city;21.37496745;37.89260958;0
Maintineia;PeloponnisosGreek city;22.39286875;37.61764034;0
Phia;PeloponnisosGreek city;21.30982294;37.66396778;0
Olympia;PeloponnisosGreek city;21.63979264;37.64030549;0
Alipheira;PeloponnisosGreek city;21.86600926;37.53031394;0
Figaleia;PeloponnisosSpartanGreek city;21.84336616;37.39823457;0
Samiko;PeloponnisosGreek city;21.59664782;37.5216032;0
Orchomenos;PeloponnisosGreek city;22.31518017;37.72468862;0
Gortys;PeloponnisosGreek city;22.04541665;37.53952469;0
Megalopolis;PeloponnisosGreek cityfounded ~ 371 BC;22.12777703;37.41222051;0
Lykosoura;PeloponnisosGreek city;22.03030949;37.38973886;0
Messene;PeloponnisosSpartanGreek city;21.92012767;37.17648107;0
Poros;PeloponnisosGreek city;23.4802178;37.531449;0
Pythagoreion;GreeceIonian;26.93454844;37.69099682;0
Syros;GreeceGreek(Ionian);24.94284682;37.44571634;0
Mykonos;GreeceGreek(Ionian);25.34886233;37.44984558;0
Athens;GreeceGreek(Achaian);23.72653467;37.97164736;0
Vouliagmeni;GreeceGreek(Achaian);23.77440666;37.81166067;0
Piraeus;GreeceGreek(Achaian);23.64095298;37.93651937;0
Acharnea;GreeceGreek(Achaian);23.73478821;38.08109018;0
