Volcano Name;Year;Month;Day;Elevation;Volcano Type;Status;Location;Country;Flag Tsunami;Flag Earthquake;Volcanic Explosivity Index;Deaths;Missing;Injuries;Damage (in M$);Damage Description;Houses destroyed;Lat;Lon;Height
Wurlali;1993;1;21;868;Stratovolcano;Historical;Banda Sea;Indonesia;;;;1;;12;;;;-7.125;128.675;0
Pinatubo;1993;6;26;1486;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;1;4;;;;;;15.13;120.35;0
Kanlaon;1996;8;10;2435;Stratovolcano;Historical;Philippines-C;Philippines;;;2;3;;18;;;;10.412;123.132;0
Mayon;2013;5;7;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;;5;;8;;;;13.257;123.685;0
Etna;2017;3;15;3350;Stratovolcano;Historical;Italy;Italy;;;;;;10;;;;37.734;15.004;0
Dieng Volc Complex;2017;7;1;2565;Complex volcano;Historical;Java;Indonesia;;;;8;;11;;;;-7.2;109.92;0
Veniaminof;-1750;;;2507;Stratovolcano;Historical;Alaska Peninsula;United States;;;6;;;;;;;56.17;-159.38;0
Bona-Churchill;847;;;5005;Stratovolcano;Radiocarbon;Alaska-E;United States;;;6;;;;;;;61.38;-141.75;0
Ceboruco;930;;;2280;Stratovolcano;Historical;Mexico;Mexico;;;6;;;;;;;21.125;-104.508;0
Hekla;1158;1;19;1491;Stratovolcano;Historical;Iceland-S;Iceland;;;4;;;;;LIMITED (roughly corresponding to less than $1 million);;63.98;-19.7;0
Etna;1329;7;;3350;Stratovolcano;Historical;Italy;Italy;;;1;;;;;;;37.734;15.004;0
Hekla;1510;10;15;1491;Stratovolcano;Historical;Iceland-S;Iceland;;;4;;;;;;;63.98;-19.7;0
Banda Api;1615;3;;640;Caldera;Historical;Banda Sea;Pacific Ocean;;;3;;;;;MODERATE (~$1 to $5 million);;-4.525;129.871;0
Fuego;1617;;;3763;Stratovolcano;Historical;Guatemala;Guatemala;;;3;;;;;;;14.473;-90.88;0
Makian;1646;7;19;1357;Stratovolcano;Historical;Halmahera-Indonesia;Indonesia;;;4;;;;;;;0.32;127.4;0
La Palma;1677;11;22;2426;Stratovolcano;Historical;Canary Is;Spain;;;2;1;;;;;;28.58;-17.83;0
Hualalai;1784;;;2523;Shield volcano;Historical;Hawaiian Is;United States;;;0;;;;;;;19.692;-155.87;0
St. Helens;1800;;;2549;Stratovolcano;Historical;US-Washington;United States;;;5;;;;;;;46.2;-122.18;0
Banda Api;1820;6;11;640;Caldera;Historical;Banda Sea;Pacific Ocean;;;2;;;;;;;-4.525;129.871;0
Avachinsky;1827;6;27;2741;Stratovolcano;Historical;Kamchatka;Russia;Tsunami;Earthquake;2;;;;;;;53.255;158.83;0
Etna;1843;11;17;3350;Stratovolcano;Historical;Italy;Italy;;;2;56;;;;;;37.734;15.004;0
Dieng Volc Complex;1847;12;4;2565;Complex volcano;Historical;Java;Indonesia;;;2;;;;;;;-7.2;109.92;0
Umboi;1857;4;17;1548;Complex volcano;Holocene;New Guinea-NE of;Papua New Guinea;Tsunami;Earthquake;;;;;;;;-5.589;147.875;0
Ofu-Olosega;1866;9;12;639;Shield volcano;Historical;Samoa-SW Pacific;United States;Tsunami;;2;;;;;;;-14.175;-169.618;0
Ruang;1870;8;;725;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;2;;;;;;40;2.28;125.425;0
Iliwerung;1870;;;1018;Complex volcano;Historical;Lesser Sunda Is;Indonesia;;;3;;;;;;;-8.54;123.59;0
Purace;1885;5;25;4650;Stratovolcano;Historical;Colombia;Colombia;;Earthquake;3;;;;;MODERATE (~$1 to $5 million);;2.32;-76.4;0
Tinakula;1897;3;26;851;Stratovolcano;Historical;Santa Cruz Is-SW Pac;Solomon Is.;Tsunami;;2;;;;;;;-10.38;165.8;0
Soufriere St. Vincent;1902;5;7;1220;Stratovolcano;Historical;W Indies;St. Vincent & the Grenadines;Tsunami;;4;1680;;;;;;13.33;-61.18;0
Karthala;1903;;;2361;Shield volcano;Historical;Indian O-W;Comoros;;;;17;;;;;;-11.75;43.38;0
Kusatsu-Shirane;1932;10;1;2176;Stratovolcano;Historical;Honshu-Japan;Japan;;;3;2;;7;;;;36.62;138.55;0
Kavachi;1951;;;-20;Submarine volcano;Historical;Solomon Is-SW Pacifi;Solomon Is.;Tsunami;;2;;;;;;;-9.02;157.95;0
Kusatsu-Shirane;1971;12;27;2176;Stratovolcano;Historical;Honshu-Japan;Japan;;;;6;;;;;;36.62;138.55;0
Lokon-Empung;1991;10;24;1580;Stratovolcano;Historical;Sulawesi-Indonesia;Indonesia;;;1;1;;;;;;1.358;124.792;0
Pacaya;1995;4;7;2552;Complex volcano;Historical;Guatemala;Guatemala;;;3;1;;;;LIMITED (roughly corresponding to less than $1 million);1;14.381;-90.601;0
Kilauea;1998;4;28;1222;Shield volcano;Historical;Hawaiian Is;United States;;;;1;;;;;;19.425;-155.292;0
Fuego;1999;5;21;3763;Stratovolcano;Historical;Guatemala;Guatemala;;;2;;;;;;;14.473;-90.88;0
Gamalama;2011;12;27;1715;Stratovolcano;Historical;Halmahera-Indonesia;Indonesia;;;3;4;;;;;;0.8;127.325;0
Sinabung;2017;12;27;2460;Stratovolcano;Holocene;Sumatra;Indonesia;;;;;;;;MODERATE (~$1 to $5 million);;3.17;98.392;0
Pinatubo;-3550;;;1486;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;6;;;;;;;15.13;120.35;0
Santorini;1050;;;329;Shield volcano;Historical;Greece;Greece;Tsunami;;;;;;;;;36.404;25.396;0
Katla;1177;;;1512;Subglacial volcano;Historical;Iceland-S;Iceland;;;3;;;;;LIMITED (roughly corresponding to less than $1 million);;63.63;-19.05;0
Ruiz;1595;3;12;5321;Stratovolcano;Historical;Colombia;Colombia;;;4;636;;;;;;4.895;-75.322;0
Banda Api;1598;;;640;Caldera;Historical;Banda Sea;Pacific Ocean;;;3;;;;;;;-4.525;129.871;0
Raung;1638;;;3332;Stratovolcano;Historical;Java;Indonesia;;;4;1001;;;;;;-8.125;114.042;0
San Salvador;1659;9;30;1893;Stratovolcano;Historical;El Salvador;El Salvador;;Earthquake;3;;;;;;;13.736;-89.286;0
Grimsvotn;1684;12;;1725;Caldera;Historical;Iceland-NE;Iceland;;;2;1;;;;;;64.42;-17.33;0
Hekla;1693;2;13;1491;Stratovolcano;Historical;Iceland-S;Iceland;Tsunami;;4;;;;;;;63.98;-19.7;0
Banda Api;1694;11;20;640;Caldera;Historical;Banda Sea;Pacific Ocean;;;3;;;;;;;-4.525;129.871;0
Vesuvius;1794;6;15;1281;Complex volcano;Historical;Italy;Italy;;;3;400;;;;SEVERE (~>$5 to $24 million);;40.821;14.426;0
San Jorge;1800;6;24;1053;Fissure vent;Historical;Azores;Portugal;;;1;9;;;;;;38.65;-28.08;0
Aso;1816;7;5;1592;Caldera;Historical;Kyushu-Japan;Japan;;;2;1;;;;;;32.88;131.1;0
Ijen;1817;1;24;2799;Stratovolcano;Historical;Java;Indonesia;;;2;;;;;;90;-8.058;114.242;0
Balbi;1825;;;2715;Stratovolcano;Holocene;Bougainville-SW Paci;Papua New Guinea;;;;;;;;;;-5.83;154.98;0
E-san;1846;11;18;618;Stratovolcano;Historical;Hokkaido-Japan;Japan;;;1;;;;;;;41.8;141.17;0
Mayon;1875;;;2462;Stratovolcano;Historical;Luzon-Philippines;Philippines;;;;1500;;;;;;13.257;123.685;0
Banua Wuhu;1889;9;6;-5;Submarine volcano;Historical;Sangihe Is-Indonesia;Indonesia;Tsunami;Earthquake;2;;;;;;;3.138;125.491;0
Novarupta;1912;9;6;841;Caldera;Historical;Alaska Peninsula;United States;;;6;2;;;;;;58.27;-155.16;0
Hakone;1953;7;26;1438;Complex volcano;Radiocarbon;Honshu-Japan;Japan;;;;10;;;;;;35.22;139.02;0
Daisetsu;1961;6;18;2290;Stratovolcano;Tephrochronology;Hokkaido-Japan;Japan;;;;2;;;;;;43.68;142.88;0
Dieng Volc Complex;1964;12;13;2565;Complex volcano;Historical;Java;Indonesia;;;1;114;;;;;;-7.2;109.92;0
Kick-'em-Jenny;1965;10;24;-177;Submarine volcano;Historical;W Indies;Netherlands;Tsunami;;0;;;;;;;12.3;-61.63;0
Tinakula;1971;9;6;851;Stratovolcano;Historical;Santa Cruz Is-SW Pac;Solomon Is.;Tsunami;;2;;;;;;;-10.38;165.8;0
Semeru;1976;8;31;3676;Stratovolcano;Historical;Java;Indonesia;;;2;119;;;;;;-8.108;112.92;0
Karangetang [Api Siau];1976;9;15;1784;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;2;1;;1;;;24;2.78;125.48;0
Santa Maria;1978;9;2;3772;Stratovolcano;Historical;Guatemala;Guatemala;;;3;1;;;;;;14.756;-91.552;0
Kliuchevskoi;1983;3;8;4835;Stratovolcano;Historical;Kamchatka;Russia;;;2;1;;;;;;56.057;160.638;0
Oshima;1986;11;15;758;Stratovolcano;Historical;Izu Is-Japan;Japan;;;3;1;;;;;;34.73;139.38;0
Karangetang [Api Siau];1992;1;21;1784;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;2;2;;;;;;2.78;125.48;0
Karangetang [Api Siau];2002;1;3;1784;Stratovolcano;Historical;Sangihe Is-Indonesia;Indonesia;;;3;;;;;LIMITED (roughly corresponding to less than $1 million);;2.78;125.48;0
Paluweh;2013;8;10;875;Stratovolcano;Historical;Lesser Sunda Is;Indonesia;;;3;5;;;;;;-8.32;121.708;0
Sinabung;2013;9;15;2460;Stratovolcano;Holocene;Sumatra;Indonesia;;;2;;;;;MODERATE (~$1 to $5 million);;3.17;98.392;0
Sinabung;2017;4;13;2460;Stratovolcano;Holocene;Sumatra;Indonesia;;;2;;;;;LIMITED (roughly corresponding to less than $1 million);;3.17;98.392;0
Krakatau;2018;12;22;813;Caldera;Historical;Indonesia;Indonesia;Tsunami;;1;;;;;;;-6.102;105.423;0
Ulawun;2019;6;26;2334;Stratovolcano;Historical;New Britain-SW Pac;Papua New Guinea;;;;;;2;14;SEVERE (~>$5 to $24 million);;-5.05;151.33;0
Macauley Island;-4360;;;238;Caldera;Holocene;Kermadec Is;New Zealand;;;6;;;;;;;-30.2;-178.47;0
Pago;-4000;;;742;Caldera;Historical;New Britain-SW Pac;Papua New Guinea;;;6;;;;;LIMITED (roughly corresponding to less than $1 million);;-5.58;150.52;0
Apoyeque;-50;;;518;Pyroclastic shield;Radiocarbon;Nicaragua;Nicaragua;;;6;;;;;;;12.242;-86.342;0
Santorini;46;;;329;Shield volcano;Historical;Greece;Greece;Tsunami;;3;;;;;;;36.404;25.396;0
Arhab, Harra of;500;;;3100;Volcanic field;Historical;Arabia-S;Yemen;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;15.63;44.08;0
Vesuvius;787;;;1281;Complex volcano;Historical;Italy;Italy;;;3;;;;;LIMITED (roughly corresponding to less than $1 million);;40.821;14.426;0
Etna;1536;3;23;3350;Stratovolcano;Historical;Italy;Italy;;;3;1;;;;;;37.734;15.004;0
Vesuvius;1690;2;3;1281;Complex volcano;Historical;Italy;Italy;Tsunami;;;;;;;;;40.821;14.426;0
Bardarbunga;1726;2;1;2000;Stratovolcano;Historical;Iceland-NE;Iceland;;;1;;;;;LIMITED (roughly corresponding to less than $1 million);;64.63;-17.53;0
Raung;1730;;;3332;Stratovolcano;Historical;Java;Indonesia;;;3;;;;;;;-8.125;114.042;0
Cotopaxi;1742;6;15;5911;Stratovolcano;Historical;Ecuador;Ecuador;;;3;;;;;SEVERE (~>$5 to $24 million);;-0.677;-78.436;0
Taal;1749;8;11;400;Stratovolcano;Historical;Luzon-Philippines;Philippines;Tsunami;Earthquake;3;;;;;LIMITED (roughly corresponding to less than $1 million);;14.002;120.993;0
Kelut;1848;5;16;1731;Stratovolcano;Historical;Java;Indonesia;;;2;21;;;;;800;-7.93;112.308;0
Dubbi;1861;5;7;1625;Stratovolcano;Historical;Africa-NE;Eritrea;;Earthquake;3;106;;;;SEVERE (~>$5 to $24 million);;13.58;41.808;0
Tofua;1892;8;30;512;Caldera;Historical;Tonga-SW Pacific;Tonga;Tsunami;;2;;;;;;;-19.75;-175.07;0
