kml_name;kml_description;kml_description_2;longitude;latitude;height
South 3 / South 3;"Dan <a href=""https://www.biblegateway.com/passage/?search=Dan.11.5&version=NIV"">11:5</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.6&version=NIV"">11:6</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.7&version=CSB"">11:7</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.9&version=NIV"">11:9</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.11&version=NIV"">11:11</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.12&version=NIV"">11:12</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.14&version=NIV"">11:14</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.15&version=NIV"">11:15</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.17&version=NIV"">11:17</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.25&version=NIV"">11:25</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.29&version=NIV"">11:29</a>, <a href=""https://www.biblegateway.com/passage/?search=Dan.11.40&version=NIV"">11:40</a>";;29.8965;31.1825;0
South Gate / in Jerusalem;"1Chr <a href=""https://www.biblegateway.com/passage/?search=1Chr.26.15&version=NIV"">26:15</a>";;35.234167;31.776667;0
Spain / Hispania;"Rom <a href=""https://www.biblegateway.com/passage/?search=Rom.15.24&version=ESV"">15:24</a>, <a href=""https://www.biblegateway.com/passage/?search=Rom.15.28&version=ESV"">15:28</a>";;-1.927994;43.341489;0
Spain / Hispania;"Rom <a href=""https://www.biblegateway.com/passage/?search=Rom.15.24&version=ESV"">15:24</a>, <a href=""https://www.biblegateway.com/passage/?search=Rom.15.28&version=ESV"">15:28</a>";;-4.35;40.21;0
Sparta;"Acts <a href=""https://www.biblegateway.com/passage/?search=Acts.9.11&version=ESV"">9:11</a>";;22.423611;37.081944;0
Straight Street;"Acts <a href=""https://www.biblegateway.com/passage/?search=Acts.9.11&version=ESV"">9:11</a>";;36.301562;33.508393;0
Straight Street;"Acts <a href=""https://www.biblegateway.com/passage/?search=Acts.9.11&version=ESV"">9:11</a>";;36.311389;33.509167;0
Succoth 1 / Tell Deir Alla;"Gen <a href=""https://www.biblegateway.com/passage/?search=Gen.33.17&version=ESV"">33:17</a>, Josh <a href=""https://www.biblegateway.com/passage/?search=Josh.13.27&version=ESV"">13:27</a>, Judg <a href=""https://www.biblegateway.com/passage/?search=Judg.8.5&version=ESV"">8:5</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.6&version=ESV"">8:6</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.8&version=ESV"">8:8</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.14&version=ESV"">8:14</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.15&version=ESV"">8:15</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.16&version=ESV"">8:16</a>, 1Kgs <a href=""https://www.biblegateway.com/passage/?search=1Kgs.7.46&version=ESV"">7:46</a>, 2Chr <a href=""https://www.biblegateway.com/passage/?search=2Chr.4.17&version=ESV"">4:17</a>";;35.62118;32.1966;0
Succoth 1 / Tell el Ekhsas;"Gen <a href=""https://www.biblegateway.com/passage/?search=Gen.33.17&version=ESV"">33:17</a>, Josh <a href=""https://www.biblegateway.com/passage/?search=Josh.13.27&version=ESV"">13:27</a>, Judg <a href=""https://www.biblegateway.com/passage/?search=Judg.8.5&version=ESV"">8:5</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.6&version=ESV"">8:6</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.8&version=ESV"">8:8</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.14&version=ESV"">8:14</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.15&version=ESV"">8:15</a>, <a href=""https://www.biblegateway.com/passage/?search=Judg.8.16&version=ESV"">8:16</a>, 1Kgs <a href=""https://www.biblegateway.com/passage/?search=1Kgs.7.46&version=ESV"">7:46</a>, 2Chr <a href=""https://www.biblegateway.com/passage/?search=2Chr.4.17&version=ESV"">4:17</a>";;35.59396;32.19321;0
Succoth 2 / Tell el Maskhuta;"Exod <a href=""https://www.biblegateway.com/passage/?search=Exod.12.37&version=ESV"">12:37</a>, <a href=""https://www.biblegateway.com/passage/?search=Exod.13.20&version=ESV"">13:20</a>, Num <a href=""https://www.biblegateway.com/passage/?search=Num.33.5&version=ESV"">33:5</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.6&version=ESV"">33:6</a>";;32.099;30.5527;0
Succoth 2 / within 2 km of Jabal Maryam;"Exod <a href=""https://www.biblegateway.com/passage/?search=Exod.12.37&version=ESV"">12:37</a>, <a href=""https://www.biblegateway.com/passage/?search=Exod.13.20&version=ESV"">13:20</a>, Num <a href=""https://www.biblegateway.com/passage/?search=Num.33.5&version=ESV"">33:5</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.6&version=ESV"">33:6</a>";;32.3042;30.56469;0
Succoth 2 / within 2 km of Jabal Maryam;"Exod <a href=""https://www.biblegateway.com/passage/?search=Exod.12.37&version=ESV"">12:37</a>, <a href=""https://www.biblegateway.com/passage/?search=Exod.13.20&version=ESV"">13:20</a>, Num <a href=""https://www.biblegateway.com/passage/?search=Num.33.5&version=ESV"">33:5</a>, <a href=""https://www.biblegateway.com/passage/?search=Num.33.6&version=ESV"">33:6</a>";;32.3042;30.5467;0
