region;probability;age M;daimeter km;webpage;longitude;latitude;height
Северная Америка;Достоверный;450-430 (130-350);40.2;http://labmpg.sscc.ru/a1482.html;-113.90625;72.449611;0
Северная Америка;Предполагаемый;<10;5.7;http://labmpg.sscc.ru/a856.html;-115.443866;56.3767;0
Северная Америка;Предполагаемый;<25;3;http://labmpg.sscc.ru/a857.html;-114.8414612;56.4533848;0
Европа;Предполагаемый;;5;http://labmpg.sscc.ru/a1128.html;-3.035986;35.946905;0
Центральная Америка;Предполагаемый;65;60;http://labmpg.sscc.ru/a1350.html;-88.6101463;18.2983265;0
Европа;Вероятный;~365;9;http://labmpg.sscc.ru/a490.html;17.462549;62.261369;0
Европа;Предполагаемый;210-250;;http://labmpg.sscc.ru/a553.html;7.7;45;0
Европа;Предполагаемый;;3.6;http://labmpg.sscc.ru/a1411.html;9.982241;51.796423;0
Африка;Неустановленный;;11;http://labmpg.sscc.ru/a1907.html;4.729168;23.322044;0
Южная Америка;Предполагаемый;;3200;http://labmpg.sscc.ru/a1338.html;-63;-6;0
Северная Америка;Вероятный;1;0.165;http://labmpg.sscc.ru/a567.html;-163.1442261;55.3988063;0
Северная Америка;Предполагаемый;25;18;http://labmpg.sscc.ru/a1908.html;-105.31386;36.82967;0
Азия;Предполагаемый;;2.4;http://labmpg.sscc.ru/a638.html;129.63086;28.424185;0
Азия;Вероятный;0.052±0.006;0.29;http://labmpg.sscc.ru/a1217.html;76.511418;19.990991;0
Азия;Неустановленный;;100;http://labmpg.sscc.ru/a2616.html;99.957927;69.581442;0
Европа;Предполагаемый;;20;http://labmpg.sscc.ru/a1477.html;3.673304;45.606641;0
Африка;Достоверный;< 0.1;0.45;http://labmpg.sscc.ru/a9.html;4.394985;26.087574;0
Австралия;Достоверный;1640-600 (1815);21;http://labmpg.sscc.ru/a503.html;134.97601;-20.521081;0
Северная Америка;Достоверный;478-458 (470±30. 445);12;http://labmpg.sscc.ru/a161.html;-98.187;36.26;0
Европа;Предполагаемый;;14.5;http://labmpg.sscc.ru/a1096.html;8.9225936;50.7976894;0
Индийский океан;Предполагаемый;100 (~65 ?);300;http://labmpg.sscc.ru/a431.html;56.33;-7.2;0
Европа;Предполагаемый;383.4±0.5;1;http://labmpg.sscc.ru/a245.html;8.678109;50.900203;0
Африка;Предполагаемый;;0.02;http://labmpg.sscc.ru/a2813.html;-5.588635;31.962981;0
Индийский океан;Неустановленный;115;;http://labmpg.sscc.ru/a1478.html;77.5566101;-37.8390723;0
Северная Америка;Предполагаемый;0.013;170;http://labmpg.sscc.ru/a977.html;-125;70.6;0
Азия;Предполагаемый;;1400;http://labmpg.sscc.ru/a1327.html;123;50;0
Азия;Предполагаемый;;0.175;http://labmpg.sscc.ru/a295.html;132.740899;48.067113;0
Европа;Предполагаемый;;15;http://labmpg.sscc.ru/a3048.html;-16.23;28.614;0
Северная Америка;Неустановленный;;30;http://labmpg.sscc.ru/a3030.html;-159.25232;67.719;0
Азия;Вероятный;ср.-позд.плиоцен;25;http://labmpg.sscc.ru/a373.html;103.491806;52.901309;0
Африка;Предполагаемый;;0.6;http://labmpg.sscc.ru/a1479.html;19.9809551;-9.9942946;0
Европа;Неустановленный;1770-1800;6.5;http://labmpg.sscc.ru/a807.html;21.015952;60.470549;0
Европа;Вероятный;~ 455;2;http://labmpg.sscc.ru/a864.html;17.601069;58.92032;0
Азия;Предполагаемый;;60;http://labmpg.sscc.ru/a2141.html;71.96;40.72;0
Европа;Предполагаемый;;1.5;http://labmpg.sscc.ru/a2103.html;36.3725567;61.2836797;0
Европа;Предполагаемый;мезо-кайнозойский;17;http://labmpg.sscc.ru/a534.html;1.55;42.52;0
Африка;Предполагаемый;< 23;3;http://labmpg.sscc.ru/a637.html;-0.048943;18.07294;0
Европа;Предполагаемый;-6500y;1600;http://labmpg.sscc.ru/a1488.html;20;60;0
Северная Америка;Неустановленный;;200;http://labmpg.sscc.ru/a2056.html;-150.6;61.25;0
Азия;Предполагаемый;;3;http://labmpg.sscc.ru/a909.html;73.736;46.956;0
Антарктида;Предполагаемый;1270±190;;http://labmpg.sscc.ru/a450.html;0;-90;0
Антарктида;Предполагаемый;;400;http://labmpg.sscc.ru/a1484.html;138.35;-63.65;0
Антарктида;Предполагаемый;0.78;322;http://labmpg.sscc.ru/a2957.html;;;0
Антарктида;Предполагаемый;0.434;;http://labmpg.sscc.ru/a2958.html;39.7;-77.317;0
Центральная Америка;Неустановленный;;;http://labmpg.sscc.ru/a1909.html;-61.86264;17.04464;0
Азия;Опровергнутый;27.09.2013!;0.015;http://labmpg.sscc.ru/a2047.html;75.7166;69.73937;0
Австралия;Неустановленный;1;;http://labmpg.sscc.ru/a1485.html;178.7758827;-49.688954;0
Азия;Предполагаемый;;;http://labmpg.sscc.ru/a1480.html;70;23.09;0
Африка;Достоверный;383 (<345 385 0.01);10.9;http://labmpg.sscc.ru/a10.html;19.240058;19.095942;0
Африка;Достоверный;~360;11.6;http://labmpg.sscc.ru/a10.html;19.23809;19.2087254;0
Африка;Достоверный;~360;12;http://labmpg.sscc.ru/a10.html;19.2507935;19.3438647;0
Африка;Достоверный;~360;11.7;http://labmpg.sscc.ru/a10.html;19.3386841;19.3373858;0
Азия;Предполагаемый;;60;http://labmpg.sscc.ru/a1490.html;108.440556;10.991083;0
Азия;Предполагаемый;;0.23;http://labmpg.sscc.ru/a1491.html;32.4068;37.2884;0
Северная Америка;Достоверный;<183 (<170);10;http://labmpg.sscc.ru/a11.html;-109.928912;38.436888;0
Африка;Неустановленный;;7.8;http://labmpg.sscc.ru/a2678.html;35.1097809;11.6939233;0
Азия;Неустановленный;;0.18;http://labmpg.sscc.ru/a2326.html;37.082;33.3177;0
Африка;Предполагаемый;;2200;http://labmpg.sscc.ru/a1340.html;33.96;19.74;0
Южная Америка;Достоверный;254.7±2.5? U-Pb (251.5±2.9? Ar. 244.4±3.25);40;http://labmpg.sscc.ru/a317.html;-52.983883;-16.81512;0
