Location name;Year;Month;Day;Country;Focal Depth;EQ Primary;Flag Tsunami;Deaths;Injuries;Missing;Missing Description;Houses destroyed;Houses damaged;Damage (in M$);Damage Description;Lat;Lon;Height
CHINA:  GUIZHOU PROVINCE;1948;10;08;CHINA;;5.8;;3;75;;;;;;MODERATE (~$1 to $5 million);27.4;104;0
CHINA:  SICHUAN PROVINCE;1949;11;13;CHINA;;5.5;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);30.3;102.5;0
RUSSIA:  SEA OF OKHOTSK;1950;02;28;RUSSIA;340;7.9;;;;;;;;;;46;144;0
VANUATU ISLANDS;1950;12;02;VANUATU;60;7.8;;;;;;;;;;-18.25;167.5;0
PAPUA NEW GUINEA:  BISMARCK SEA;1951;02;22;PAPUA NEW GUINEA;25;6.1;Tsunami;;;;;;;;;-3.252;142.238;0
EL SALVADOR:  JUCUAPA;1951;05;06;EL SALVADOR;100;6.5;;1100;;;;;;23;SEVERE (~>$5 to $24 million);13;-87.8;0
PERU:  LIMA;1953;02;15;PERU;;5.5;Tsunami;;;;;;;;;-12;-77.5;0
INDIA;1961;02;04;INDIA;141;7.6;;;;;;;;;;24.9;93.34;0
CHINA:   YUNNAN PROVINCE;1961;06;11;CHINA;33;5.8;;;;;;5740;;;SEVERE (~>$5 to $24 million);24.97;98.63;0
JAPAN:  HONSHU:  SENDAI;1962;04;30;JAPAN;104;6.8;;1;;;;;;;MODERATE (~$1 to $5 million);38.8;140.9;0
UTAH;1962;08;30;USA;37;5.8;;;;;;;;1;MODERATE (~$1 to $5 million);41.8;-111.8;0
TURKEY:  YALOVA:  CINARCIK;1963;09;18;TURKEY;19;6.1;Tsunami;1;;;;7;163;;MODERATE (~$1 to $5 million);40.75;29;0
RUSSIA:  KURIL ISLANDS;1963;10;12;RUSSIA;48;7.1;Tsunami;;;;;;;;;44.426;149.272;0
BALKANS NW:  CROATIA;1964;04;13;CROATIA;32;6;;3;;;;;;;SEVERE (~>$5 to $24 million);45.3;18.1;0
CHILE:  SOUTHERN;1965;10;03;CHILE;28;6.5;Tsunami;;;;;;;;;-42.9;-75.13;0
ALBANIA:  GJIROKASTEV;1967;02;09;ALBANIA;33;5.6;;;;;;77;;;MODERATE (~$1 to $5 million);40;20.2;0
KENYA:  HOMA BAY, USIRI, GOT KOKECH;1968;03;20;KENYA;33;4.6;;1;1;;;;;;LIMITED (roughly corresponding to less than $1 million);-0.6;34.4;0
NEW ZEALAND:  SOUTH ISLAND:  NW COAST;1968;05;23;NEW ZEALAND;21;7.1;;3;;;;;;3;MODERATE (~$1 to $5 million);-41.7;172;0
PERU:  LAMPA-JUNIN,HUAYTAPALLANA;1969;07;24;PERU;1;5.9;;;;;;;;;SEVERE (~>$5 to $24 million);-11.9;-75.1;0
PAPUA NEW GUINEA:  BISMARCK SEA;1969;08;02;PAPUA NEW GUINEA;17;5.4;Tsunami;;;;;;;;;-6.6;146.9;0
ALASKA:  SITKA, JUNEAU;1972;07;30;USA;25;7.6;Tsunami;;;;;;;;LIMITED (roughly corresponding to less than $1 million);56.82;-135.68;0
FRANCE:  LABOIRIE, ARCEAU, SAINT-PIERRE D'OLERON;1972;09;07;FRANCE;33;5.3;;;;;;;;;MODERATE (~$1 to $5 million);46;-1.1;0
MEXICO:  VERACRUZ, MEXICO CITY;1973;08;28;MEXICO;84;6.2;;600;;;;;;;SEVERE (~>$5 to $24 million);18.27;-96.6;0
